Description,Brand,Material,Color,XY Strength (N),XY Strength (MPa),Z Strength (N),Z Strength (MPa)
Overture PLA (matte black),Overture,PLA,matte black,767,38.35,353,11.77
Overture PLA (matte black),Overture,PLA,matte black,704,35.20,291,9.70
Overture PLA (matte black),Overture,PLA,matte black,725,36.25,203,6.77
Overture PLA (matte black),Overture,PLA,matte black,745,37.25,301,10.03
Overture PLA (matte black),Overture,PLA,matte black,730,36.50,379,12.63
3D Solutech PLA+CF (black),3D Solutech,PLA+CF,black,1250,62.50,152,5.07
3D Solutech PLA+CF (black),3D Solutech,PLA+CF,black,1200,60.00,200,6.67
3D Solutech PLA+CF (black),3D Solutech,PLA+CF,black,1203,60.15,353,11.77
3D Solutech PLA+CF (black),3D Solutech,PLA+CF,black,1145,57.25,538,17.93
3D Solutech PLA+CF (black),3D Solutech,PLA+CF,black,1153,57.65,501,16.70
PolyTerra PLA (matte black),PolyTerra,PLA,matte black,669,33.45,,
PolyTerra PLA (matte black),PolyTerra,PLA,matte black,643,32.15,,
PolyTerra PLA (matte black),PolyTerra,PLA,matte black,660,33.00,,
PolyTerra PLA (matte black),PolyTerra,PLA,matte black,658,32.90,,
PolyTerra PLA (matte black),PolyTerra,PLA,matte black,651,32.55,,
3D Solutech PLA (black),3D Solutech,PLA,black,1329,66.45,,
3D Solutech PLA (black),3D Solutech,PLA,black,1342,67.10,,
3D Solutech PLA (black),3D Solutech,PLA,black,1330,66.50,,
3D Solutech PLA (black),3D Solutech,PLA,black,1236,61.80,,
3D Solutech PLA (black),3D Solutech,PLA,black,1277,63.85,,
Prusa PETG (orange),Prusa,PETG,orange,1114,55.70,408,13.60
Prusa PETG (orange),Prusa,PETG,orange,1086,54.30,691,23.03
Prusa PETG (orange),Prusa,PETG,orange,1002,50.10,534,17.80
Prusa PETG (orange),Prusa,PETG,orange,1027,51.35,538,17.93
Prusa PETG (orange),Prusa,PETG,orange,1063,53.15,349,11.63
Polymaker PA6-CF (black),Polymaker,PA6-CF,black,1397,69.85,298,9.93
Polymaker PA6-CF (black),Polymaker,PA6-CF,black,1369,68.45,274,9.13
Polymaker PA6-CF (black),Polymaker,PA6-CF,black,1351,67.55,240,8.00
Polymaker PA6-CF (black),Polymaker,PA6-CF,black,1352,67.60,279,9.30
Polymaker PA6-CF (black),Polymaker,PA6-CF,black,1330,66.50,243,8.10
Polymaker PA6-CF annealed (black),Polymaker,PA6-CF annealed,black,1486,74.30,201,6.70
Polymaker PA6-CF annealed (black),Polymaker,PA6-CF annealed,black,1411,70.55,199,6.63
Polymaker PA6-CF annealed (black),Polymaker,PA6-CF annealed,black,1361,68.05,195,6.50
Polymaker PA6-CF annealed (black),Polymaker,PA6-CF annealed,black,1455,72.75,243,8.10
Polymaker PA6-CF annealed (black),Polymaker,PA6-CF annealed,black,1476,73.80,231,7.70
